"MONTH","ALL_CONTRIBUTIONS","ALL_CONTRIBUTORS","UNAFFILIATED_CONTRIBUTIONS","UNAFFILIATED_CONTRIBUTORS","PERCENT_UNAFFILIATED_CONTRIBUTORS","PERCENT_UNAFFILIATED_CONTRIBUTIONS"
"2023-08-01","5233577","16578","44784","4458","26.891100","0.855700"
"2023-09-01","10443613","45552","90503","10530","23.116400","0.866600"
"2023-10-01","15363198","91678","209980","25089","27.366400","1.366800"
"2023-11-01","17057213","127043","404577","48503","38.178400","2.371900"
"2023-12-01","17510511","130818","429164","50121","38.313500","2.450900"
"2024-01-01","17703827","134106","449654","52119","38.864000","2.539900"
"2024-02-01","24280992","210053","1244635","94705","45.086200","5.126000"
"2024-03-01","26036739","251117","2164313","128339","51.107300","8.312500"
"2024-04-01","27104287","275579","2480041","147170","53.403900","9.150000"
"2024-05-01","31137878","351411","3798563","218534","62.187600","12.199200"
"2024-06-01","33668920","397839","5343619","263677","66.277300","15.871100"
"2024-07-01","34959396","452371","6790462","320226","70.788400","19.423900"
"2024-07-24","35618085","497275","8000449","370909","74.588300","22.461800"
